from_cat,cat
1,1
2,2
3,3
4,4
5,5
7,7
7,313
8,8
8,314
9,9
11,11
11,311
15,15
16,16
17,17
17,340
18,18
19,19
20,20
21,21
22,22
23,23
25,25
28,28
28,366
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
37,365
38,38
39,39
40,40
40,149
41,41
42,42
43,43
44,44
45,45
46,46
46,152
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
60,61
61,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
68,467
70,70
71,71
72,72
72,486
73,73
73,489
74,74
75,75
76,76
76,501
77,77
77,502
78,78
78,504
79,79
80,80
80,164
81,81
82,82
83,83
83,168
84,84
85,85
85,170
86,86
86,529
87,87
88,88
89,89
90,90
90,542
91,91
92,92
92,546
93,93
94,94
94,557
95,95
96,96
97,97
98,98
99,99
99,751
100,100
100,568
101,101
101,570
102,102
103,103
103,579
104,104
105,105
106,106
106,194
107,107
107,588
108,108
111,111
111,330
111,331
113,113
113,338
114,114
114,117
115,115
115,118
116,116
117,114
117,117
118,115
118,118
119,119
119,128
120,120
120,121
120,129
120,130
121,120
121,121
121,129
121,130
122,122
122,131
123,123
123,132
124,124
124,133
125,125
125,134
126,126
126,135
126,691
127,127
127,484
128,119
128,128
129,120
129,121
129,129
129,130
130,120
130,121
130,129
130,130
131,122
131,131
132,123
132,132
133,124
133,133
134,125
134,134
135,126
135,135
135,691
137,137
137,197
139,139
139,140
140,139
140,140
141,141
141,382
142,142
143,143
144,144
145,145
146,146
146,147
147,146
147,147
148,148
148,401
149,40
149,149
150,150
151,151
152,46
152,152
153,153
154,154
154,461
155,155
156,156
158,158
158,161
159,159
161,158
161,161
163,163
163,493
164,80
164,164
165,165
165,517
166,166
167,167
167,169
168,83
168,168
169,167
169,169
170,85
170,170
171,171
172,172
172,174
173,173
173,541
174,172
174,174
175,175
176,176
176,177
176,178
177,176
177,177
177,178
178,176
178,177
178,178
179,179
179,188
179,214
179,280
180,180
180,213
180,246
180,248
181,181
181,189
181,249
182,182
182,190
182,226
182,227
183,183
183,256
183,258
183,292
184,184
184,192
184,230
184,291
185,185
185,231
185,232
185,259
186,186
186,196
186,265
186,272
187,187
187,193
187,271
187,297
187,298
187,299
188,179
188,188
188,214
188,280
189,181
189,189
189,249
190,182
190,190
190,226
190,227
191,191
191,225
191,229
191,289
192,184
192,192
192,230
192,291
193,187
193,193
193,271
193,297
193,298
193,299
194,106
194,194
195,195
195,270
196,186
196,196
196,265
196,272
197,137
197,197
198,198
198,580
200,200
200,202
201,201
202,200
202,202
203,203
203,208
203,243
203,274
204,204
204,209
204,275
204,277
205,205
205,210
205,245
205,276
206,206
206,211
206,273
206,278
207,207
207,212
207,279
207,281
208,203
208,208
208,243
208,274
209,204
209,209
209,275
209,277
210,205
210,210
210,245
210,276
211,206
211,211
211,273
211,278
212,207
212,212
212,279
212,281
213,180
213,213
213,246
213,248
214,179
214,188
214,214
214,280
215,215
215,216
215,219
215,250
216,215
216,216
216,219
216,250
217,217
217,220
217,284
217,285
218,218
218,221
218,286
218,288
219,215
219,216
219,219
219,250
220,217
220,220
220,284
220,285
221,218
221,221
221,286
221,288
222,222
222,251
222,253
222,287
223,223
223,224
223,252
223,254
224,223
224,224
224,252
224,254
225,191
225,225
225,229
225,289
226,182
226,190
226,226
226,227
227,182
227,190
227,226
227,227
229,191
229,225
229,229
229,289
230,184
230,192
230,230
230,291
231,185
231,231
231,232
231,259
232,185
232,231
232,232
232,259
233,233
233,234
233,261
233,263
234,233
234,234
234,261
234,263
235,235
235,238
235,267
235,296
236,236
236,239
236,268
236,295
237,237
237,240
237,269
237,294
238,235
238,238
238,267
238,296
239,236
239,239
239,268
239,295
240,237
240,240
240,269
240,294
241,241
241,282
242,242
242,244
242,283
243,203
243,208
243,243
243,274
244,242
244,244
244,283
245,205
245,210
245,245
245,276
246,180
246,213
246,246
246,248
248,180
248,213
248,246
248,248
249,181
249,189
249,249
250,215
250,216
250,219
250,250
251,222
251,251
251,253
251,287
252,223
252,224
252,252
252,254
253,222
253,251
253,253
253,287
254,223
254,224
254,252
254,254
256,183
256,256
256,258
256,292
258,183
258,256
258,258
258,292
259,185
259,231
259,232
259,259
260,260
260,262
261,233
261,234
261,261
261,263
262,260
262,262
263,233
263,234
263,261
263,263
264,264
264,266
265,186
265,196
265,265
265,272
266,264
266,266
267,235
267,238
267,267
267,296
268,236
268,239
