from_cat,cat
5,333
7,322
15,9
21,22
25,354
36,142
38,143
52,53
53,425
54,429
55,433
56,57
57,437
58,59
59,60
59,61
60,450
61,62
62,445
63,452
64,65
66,64
67,63
70,127
70,484
74,763
86,87
88,733
91,90
91,542
106,397
108,241
108,282
111,111
111,329
111,330
111,331
113,114
113,117
114,115
114,118
115,610
116,113
116,338
117,115
117,118
118,610
119,120
119,121
119,129
119,130
120,120
120,121
120,129
120,130
121,122
121,131
122,123
122,132
123,124
123,133
124,125
124,134
125,126
125,135
125,691
126,126
126,135
126,691
127,119
127,128
128,120
128,121
128,129
128,130
129,120
129,121
129,129
129,130
130,122
130,131
131,123
131,132
132,124
132,133
133,125
133,134
134,126
134,135
134,691
135,126
135,135
135,691
140,137
140,197
144,146
144,147
145,146
145,147
147,148
147,401
150,410
150,412
151,46
151,152
153,419
153,422
154,689
155,73
155,489
156,158
156,161
159,158
159,161
165,512
166,167
166,169
167,167
167,169
169,85
169,170
170,523
170,525
171,729
173,172
173,174
175,537
175,540
176,176
176,177
176,178
179,180
179,213
179,246
179,248
180,181
180,189
180,249
181,215
181,216
181,219
181,250
182,191
182,225
182,229
182,289
183,184
183,192
183,230
183,291
184,185
184,231
184,232
184,259
185,233
185,234
185,261
185,263
186,187
186,193
186,271
186,297
186,298
186,299
187,235
187,238
187,267
187,296
188,180
188,213
188,246
188,248
189,215
189,216
189,219
189,250
190,191
190,225
190,229
190,289
191,183
191,256
191,258
191,292
192,185
192,231
192,232
192,259
193,235
193,238
193,267
193,296
195,186
195,196
195,265
195,272
196,195
196,270
197,198
197,580
200,142
201,200
201,202
202,37
202,365
203,204
203,209
203,275
203,277
204,205
204,210
204,245
204,276
205,206
205,211
205,273
205,278
206,207
206,212
206,279
206,281
207,179
207,188
207,214
207,280
208,204
208,209
208,275
208,277
209,205
209,210
209,245
209,276
210,206
210,211
210,273
210,278
211,207
211,212
211,279
211,281
212,179
212,188
212,214
212,280
213,179
213,188
213,214
213,280
214,180
214,213
214,246
214,248
215,180
215,213
215,246
215,248
216,217
216,220
216,284
216,285
217,218
217,221
217,286
217,288
218,222
218,251
218,253
218,287
219,217
219,220
219,284
219,285
220,218
220,221
220,286
220,288
221,222
221,251
221,253
221,287
222,223
222,224
222,252
222,254
223,182
223,190
223,226
223,227
224,182
224,190
224,226
224,227
225,182
225,190
225,226
225,227
226,222
226,251
226,253
226,287
227,191
227,225
227,229
227,289
229,183
229,256
229,258
229,292
230,185
230,231
230,232
230,259
231,186
231,196
231,265
231,272
232,184
232,192
232,230
232,291
233,233
233,234
233,261
233,263
234,186
234,196
234,265
234,272
235,236
235,239
235,268
235,295
236,237
236,240
236,269
236,294
237,293
237,577
238,236
238,239
238,268
238,295
239,237
239,240
239,269
239,294
240,293
240,577
241,242
241,244
241,283
242,203
242,208
242,243
242,274
243,242
243,244
243,283
244,241
244,282
245,206
245,211
245,273
245,278
246,181
246,189
246,249
248,181
248,189
248,249
249,215
249,216
249,219
249,250
250,217
250,220
250,284
250,285
251,223
251,224
251,252
251,254
252,182
252,190
252,226
252,227
253,223
253,224
253,252
253,254
254,223
254,224
254,252
254,254
256,184
256,192
256,230
256,291
258,184
258,192
258,230
258,291
259,260
259,262
260,233
260,234
260,261
260,263
261,260
261,262
262,185
262,231
262,232
262,259
263,264
263,266
264,186
264,196
264,265
264,272
265,264
265,266
266,233
266,234
266,261
266,263
267,236
267,239
267,268
267,295
268,237
268,240
268,269
268,294
269,293
269,577
270,187
270,193
270,271
270,297
270,298
270,299
271,187
271,193
271,271
271,297
271,298
271,299
272,187
272,193
272,271
272,297
272,298
272,299
273,205
273,210
273,245
273,276
274,204
274,209
274,275
274,277
275,205
275,210
275,245
275,276
276,204
276,209
276,275
276,277
277,203
277,208
277,243
277,274
278,207
278,212
278,279
278,281
279,179
279,188
279,214
279,280
280,207
280,212
280,279
280,281
281,206
281,211
281,273
281,278
282,242
282,244
282,283
283,203
283,208
283,243
283,274
284,215
284,216
284,219
284,250
285,218
285,221
285,286
285,288
286,222
286,251
286,253
286,287
287,218
287,221
287,286
287,288
288,217
288,220
288,284
288,285
289,183
289,256
289,258
289,292
291,183
291,256
291,258
291,292
292,191
292,225
292,229
292,289
293,237
293,240
293,269
293,294
294,236
294,239
294,268
294,295
295,235
295,238
295,267
295,296
296,187
296,193
296,271
296,297
296,298
296,299
297,195
297,270
298,187
298,193
298,271
298,297
298,298
298,299
299,235
299,238
299,267
299,296
314,316
316,325
318,327
320,15
322,5
325,318
327,320
329,111
329,329
329,330
329,331
330,330
330,331
331,330
331,331
337,16
338,114
338,117
340,119
340,128
348,360
351,25
354,355
360,351
365,28
365,366
386,643
391,200
391,202
394,143
397,398
397,587
403,40
403,149
407,666
422,417
425,54
429,55
433,56
437,58
445,447
450,67
452,66
459,464
464,689
467,469
469,471
471,70
475,478
478,480
480,482
482,68
482,467
484,127
484,484
486,51
491,163
491,493
501,77
501,502
503,78
503,504
504,76
504,501
509,165
509,517
512,513
512,515
525,83
525,168
527,86
527,529
529,198
529,580
533,729
535,733
537,173
537,541
540,564
541,172
541,174
542,90
542,542
546,549
549,551
557,93
559,80
559,164
561,752
562,99
562,751
564,498
564,500
568,176
568,177
568,178
569,101
569,570
570,100
570,568
576,293
576,577
579,139
579,140
580,581
580,583
581,701
587,107
587,588
590,106
590,194
592,141
592,382
610,126
610,135
610,691
642,643
665,666
689,154
689,461
691,610
701,763
751,752
763,701
