cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,258742,"18280312",5121,"unclassified",,,"B",0,0,"F","F",1,219581.397491715,5159340.81035425
2,513072,"696257964",5142,"track","250th Avenue",,"B",0,0,"F","F",1,234412.950440491,5165919.54423055
3,27700,"18000211",5122,"residential","Rock Rice Road",,"B",0,0,"F","F",1,289801.018493084,5202455.44749117
4,67160,"18048390",5142,"track","Northwest 10th Street",,"B",0,0,"F","F",1,211780.010154876,5219256.12077679
5,303109,"98641914",5115,"tertiary","Oakport Street North","CR 3","B",64,0,"F","F",1,214418.839296471,5204672.30985088
6,259937,"18281828",5121,"unclassified","T-180",,"B",0,0,"F","F",1,222890.336068092,5160802.14859812
7,260174,"18282106",5121,"unclassified","County Road 188",,"B",0,0,"F","F",1,234893.455212037,5165091.10134593
8,260717,"18282806",5142,"track","T-231",,"B",0,0,"F","F",1,240695.535234218,5168107.23079734
9,285286,"42328917",5113,"primary","140th Street South","MN 9","B",0,0,"F","F",1,232701.431895729,5192647.15584229
10,326651,"140213025",5114,"secondary",,"MN 32","B",0,0,"F","F",1,251868.152433708,5201949.22764995
11,65398,"18046370",5141,"service",,,"B",0,0,"F","F",1,220235.36173941,5199735.193662
12,65398,"18046370",5141,"service",,,"B",0,0,"F","F",1,220232.324907152,5199675.64797743
13,258910,"18280520",5122,"residential","270th Avenue",,"B",0,0,"F","F",1,237396.324616754,5160109.55698283
14,260024,"18281933",5121,"unclassified","T-185",,"B",0,0,"F","F",1,226169.550823795,5161465.88949819
15,260712,"18282801",5122,"residential","T-10",,"B",0,0,"F","F",1,224552.249606515,5161512.35441194
16,259080,"18280747",5141,"service",,,"B",0,0,"F","F",1,214241.655693482,5153889.1777268
17,29728,"18002600",5115,"tertiary","County Highway 26","CR 26","B",0,0,"F","F",1,295940.939890586,5203807.73262159
18,500920,"654051824",5121,"unclassified","14th Street South",,"B",48,0,"F","F",1,213154.328562324,5186957.45422402
19,30264,"18003211",5141,"service","Farm Lane",,"B",0,0,"F","F",1,292157.289008454,5206237.00847317
20,26541,"17998768",5141,"service",,,"B",0,0,"F","F",1,292193.741925491,5207061.15338819
21,66550,"18047710",5121,"unclassified","40th Street South","CR 7","B",0,0,"F","F",1,216203.653371725,5183664.89689464
22,67054,"18048272",5113,"primary","US Highway 75 South","US 75","B",0,0,"F","F",1,212227.690007546,5184795.77574974
23,66075,"18047133",5121,"unclassified","28th Street South",,"B",0,0,"F","F",1,214658.837251351,5185319.89314502
24,66727,"18047912",5121,"unclassified","90th Street North","CR 68","B",0,0,"F","F",1,225052.135112677,5200022.95733068
25,762002,"1005661786",5121,"unclassified","170th Street South",,"B",0,1,"T","F",1,237247.774457866,5176314.71734258
26,64590,"18045428",5141,"service","130th Avenue South",,"B",0,0,"F","F",1,236065.985152886,5177964.05151324
27,611277,"806840845",5121,"unclassified","140th Street South",,"B",0,1,"T","F",1,232119.280476179,5179574.10882623
28,66679,"18047856",5121,"unclassified","110th Avenue South",,"B",0,0,"F","F",1,235562.542223667,5181207.34952813
29,259061,"18280728",5141,"service",,,"B",0,0,"F","F",1,244952.327975216,5123465.17570378
30,27612,"18000107",5122,"residential","190 Avenue",,"B",0,0,"F","F",1,270720.679177411,5191161.129878
31,24913,"17996697",5141,"service",,,"B",0,0,"F","F",1,293358.08943876,5209018.43782219
32,635323,"833557532",5115,"tertiary","County Highway 29","CR 29","B",0,0,"F","F",1,297062.570625692,5197292.14275668
33,260554,"18282561",5121,"unclassified","County Road 190",,"B",0,0,"F","F",1,219480.286200202,5167435.30689657
34,260071,"18281987",5122,"residential","County Road 180",,"B",0,0,"F","F",1,223596.673269563,5157538.75654585
35,30505,"18003487",5115,"tertiary","County Highway 9","CR 9","B",0,0,"F","F",1,266468.957972871,5204190.26867957
36,67161,"18048391",5121,"unclassified","10th Street Northwest","CR 98","B",0,0,"F","F",1,211479.684148877,5212821.51583551
37,285294,"42329255",5111,"motorway",,"I 94","F",0,0,"F","F",1,225183.151191695,5191364.38956223
38,740278,"957745978",5141,"service",,,"B",0,0,"F","F",1,229385.581725873,5189273.29271498
39,67411,"18048705",5121,"unclassified","15th Street Northwest","CR 100","B",0,0,"F","F",1,210250.944987347,5216071.53997802
40,67160,"18048390",5142,"track","Northwest 10th Street",,"B",0,0,"F","F",1,211697.625188401,5217658.80363566
41,67411,"18048705",5121,"unclassified","15th Street Northwest","CR 100","B",0,0,"F","F",1,210224.017657008,5217698.66804401
42,367968,"184470029",5113,"primary",,"US 75","B",0,0,"F","F",1,213227.860951932,5215982.39897832
