cat,a_cat,b_cat,to_x,to_y
1,3416,1,212772.159306496,5195343.8500523
2,1440,1,240695.574027983,5168107.22949457
3,1763,1,289799.754432433,5202453.93401675
4,2113,1,297062.336425808,5197292.68608549
5,4871,1,293357.403010455,5209001.20533759
6,2030,1,217388.830342806,5175547.18409401
7,410,1,236000.316084503,5164927.0818713
8,28,1,213160.682389081,5215987.75234245
9,247,1,219673.787157754,5215663.19318973
10,383,1,250427.852464776,5201614.24941953
11,2459,1,251870.178383182,5201949.23309941
12,1075,1,235562.616373663,5181208.35654837
13,1065,1,232171.093918786,5180566.30081314
14,485,1,212247.333185325,5185387.20464039
15,3379,1,220305.567355666,5201212.71340157
16,993,1,212721.514211759,5178981.45398179
17,392,1,217923.592376743,5212492.43793513
18,487,1,215856.813764296,5177241.65013315
19,3383,1,228328.673456896,5200884.78858745
20,2786,1,227599.860562262,5196117.45037428
21,770,1,227130.2451193,5196502.75896828
22,2875,1,225229.684178254,5199415.09495987
23,90,1,225053.071881746,5200022.62915088
24,1847,1,237394.988080006,5160109.17768752
25,391,1,218008.052123995,5214112.66758222
26,683,1,234379.841469997,5194163.3295974
27,485,1,212521.363839238,5190245.01795523
28,1579,1,210464.531590273,5190317.74003518
29,565,1,221225.471018253,5159245.15396341
30,2117,1,231196.623293941,5166071.73229135
31,1256,1,234751.217461106,5164610.11819211
32,1847,1,237487.106910333,5161753.85698513
33,2065,1,230906.311164634,5129754.10564028
34,804,1,222918.859015772,5161333.58769772
35,804,1,222894.372927629,5160801.96916328
36,1469,1,210257.183456828,5219324.41187097
37,958,1,243109.286660443,5146980.10263078
38,2345,1,217778.793182229,5154583.6561268
39,613,1,214242.808443948,5153888.29998076
40,308,1,270723.668770018,5191161.9262592
41,993,1,212870.411846947,5182147.78147203
42,485,1,212351.759108213,5186993.79851663
43,2079,1,222248.113868081,5206727.07256151
44,4621,1,292157.795099972,5206241.21308514
45,4288,1,292201.16681672,5207062.3822988
46,2005,1,292527.962566207,5207869.96409783
47,969,1,237247.911017636,5176314.74831061
48,1065,1,232122.546993969,5179574.13822255
49,893,1,213004.160992085,5183917.37069452
50,485,1,212227.462921546,5184795.89839744
51,3922,1,266513.535993274,5204066.36187446
52,1461,1,242971.558668038,5164787.95585212
53,2180,1,267888.192118045,5199439.9451372
54,3346,1,267682.474470415,5200780.09660281
55,1576,1,266839.82188339,5202436.54987798
56,1397,1,211394.060399641,5210761.60456068
57,3627,1,211412.745546218,5211245.48702507
58,1397,1,211437.652867827,5211815.29018112
59,1397,1,211433.789440281,5211726.6501691
60,4620,1,289594.404803317,5204511.80785456
61,3479,1,271266.595458913,5204145.95100022
62,519,1,226866.75198831,5170286.77121616
63,1931,1,225421.630554716,5142937.01583707
64,765,1,229385.680732576,5189275.14119564
65,3648,1,273903.481255499,5214591.99652434
66,1081,1,223828.026532942,5189812.03029425
67,171,1,227845.507953331,5131402.47813935
68,391,1,227993.353461156,5131487.25992933
69,1144,1,234911.878599193,5138456.94617919
70,871,1,233272.888168553,5137760.29134513
