from_cat,cat
5,166
9,7
14,254
16,173
24,90
26,91
32,261
38,264
38,265
38,266
39,198
40,199
41,42
42,200
43,44
44,45
44,46
44,267
45,203
46,47
47,201
48,328
49,50
51,49
52,48
53,211
53,283
53,332
53,333
56,250
64,347
66,226
66,275
66,348
66,349
76,143
77,168
78,79
80,81
80,82
81,81
81,82
82,83
83,84
84,85
85,86
86,248
86,364
88,118
88,301
92,94
92,284
93,94
93,284
96,287
96,326
97,34
97,98
99,288
99,327
100,289
100,334
101,291
101,292
102,290
102,293
105,106
105,108
106,106
106,108
108,62
108,109
109,220
109,297
110,346
113,113
113,114
113,115
113,300
116,127
116,128
116,134
116,302
118,119
118,316
120,90
121,190
121,323
122,129
123,130
123,304
125,136
125,138
126,148
127,127
127,128
127,134
127,302
128,136
128,138
129,303
130,123
131,124
131,305
132,131
132,133
132,306
133,131
133,133
133,306
134,127
134,128
134,134
134,302
135,116
135,125
135,126
136,137
137,127
137,128
137,134
137,302
138,152
138,153
139,260
141,142
142,139
143,144
145,303
146,147
147,145
148,149
150,151
152,152
152,153
159,163
160,164
161,9
162,5
163,160
164,161
165,165
167,10
168,78
172,16
173,174
176,172
179,257
179,315
184,321
187,245
187,322
187,360
190,120
190,312
191,91
192,193
192,240
194,28
194,95
195,361
195,363
197,39
198,40
199,41
200,43
201,202
203,52
204,329
206,207
207,53
208,331
209,210
210,268
210,330
211,211
211,283
211,332
211,333
212,103
212,294
215,272
215,339
217,295
217,343
218,219
218,344
221,274
221,345
222,346
223,347
224,225
225,111
225,112
228,229
231,59
231,104
232,249
233,73
233,351
233,365
234,214
234,337
235,281
235,282
235,353
235,354
236,237
236,355
240,241
240,358
242,117
242,359
243,89
243,185
244,245
244,322
244,360
246,361
246,363
247,205
252,159
253,80
255,15
255,256
256,176
257,258
257,314
258,24
258,259
260,261
261,140
262,35
262,263
264,264
264,265
264,266
265,197
266,264
266,265
266,266
267,45
267,46
267,267
268,206
269,54
269,270
271,269
273,215
273,338
274,119
274,316
276,228
277,68
278,70
278,279
280,113
280,114
280,115
280,300
281,281
281,282
281,353
281,354
282,74
282,280
283,211
283,283
283,332
283,333
284,93
284,285
285,286
285,325
288,196
291,290
291,293
292,290
292,293
297,107
297,296
298,298
298,299
298,340
298,341
299,273
299,342
300,113
300,114
300,115
300,300
302,135
303,123
304,129
305,131
305,133
305,306
306,132
306,146
307,157
307,308
310,162
312,177
312,313
313,25
313,179
315,258
315,314
316,181
316,317
317,238
317,357
318,182
318,319
320,321
321,87
321,88
322,245
322,322
322,360
323,120
323,312
328,51
329,247
331,209
332,211
332,283
332,332
332,333
333,80
335,213
335,336
336,234
340,298
340,299
340,340
340,341
341,224
341,335
343,218
345,63
348,226
348,275
348,348
348,349
351,352
352,249
354,281
354,282
354,353
354,354
355,150
359,192
359,324
360,245
360,322
360,360
361,362
363,362
364,248
364,364
365,352
