cat,lcat,along,x,y
1,1,0,214068.2833,5195067.5848
2,1,789.776657040958,213279.31968564,5195103.01666443
3,1,1579.55331408192,212771.963,5195519.9714
4,2,0,235624.2037,5213322.9157
5,2,11042.4495702585,224593.45146739,5213801.41966077
6,2,22084.8991405171,215207.5108,5215892.7807
7,3,0,224260.2108,5193246.565
8,3,5150.70167271698,229166.354920836,5192825.04203784
9,3,10301.403345434,234309.0609,5192545.1955
10,4,0,251912.263,5201949.3563
11,4,1831.25185196253,250349.354696855,5201452.62959068
12,4,3662.50370392505,250325.2767,5200001.3592
13,5,0,231561.3573,5180589.24
14,5,2619.51817559923,234144.702963187,5180306.08719262
15,5,5239.03635119847,235562.6064,5181208.3572
16,6,0,210968.1306,5212830.2126
17,6,1065.65522651469,212031.057183437,5212797.63218019
18,6,2131.31045302937,213095.5212,5212747.5032
19,7,0,211764.5807,5185401.9348
20,7,2495.86662217181,214253.804326049,5185329.61900761
21,7,4991.73324434362,216748.6859,5185260.3868
22,8,0,219111.6121,5208174.2514
23,8,5067.70800048573,220174.052383688,5204423.28390685
24,8,10135.4160009715,220229.2509,5199615.9633
25,9,0,211959.4972,5179012.138
26,9,2391.06267347859,214348.420506744,5178932.54637113
27,9,4782.12534695718,216736.4287,5178813.352
28,10,0,216570.9156,5219061.7016
29,10,425.604939858889,216146.81014323,5219084.96071505
30,10,851.209879717778,215731.1161,5219174.5921
31,10,0,219804.8852,5218910.6658
32,10,158.936525191868,219646.1034,5218917.67715
33,10,317.873050383737,219487.3216,5218924.6885
34,10,0,217336.8917,5219024.5413
35,10,303.035311322811,217034.31072819,5219041.12910899
36,10,606.070622645623,216731.6216,5219055.6092
37,10,0,221357.8241,5218848.0274
38,10,308.689643607801,221049.460538623,5218862.2122541
39,10,617.379287215602,220741.0516,5218875.373
40,10,0,221388.261,5218848.3682
41,10,785.009832162639,222172.558350892,5218814.93926307
42,10,1570.01966432528,222956.8153,5218780.5934
43,10,0,223778.7177,5218742.1657
44,10,393.679892846858,224172.04173663,5218725.43186246
45,10,787.359785693716,224565.3259,5218707.7898
46,10,0,224588.611,5218706.7621
47,10,253.562776426862,224841.87911503,5218694.54148225
48,10,507.125552853724,225095.1008,5218681.4023
49,10,0,227430.2383,5218571.2618
50,10,152.977109568373,227582.95575,5218562.35245
51,10,305.954219136747,227735.6732,5218553.4431
52,10,0,216731.6216,5219055.6092
53,10,80.410720326693,216651.2686,5219058.6554
54,10,160.821440653386,216570.9156,5219061.7016
55,10,0,217336.8917,5219024.5413
56,10,1076.37617295406,218412.196020371,5218976.52962742
57,10,2152.75234590813,219487.3216,5218924.6885
58,10,0,219804.8852,5218910.6658
59,10,468.415710192319,220272.9684,5218893.0194
60,10,936.831420384639,220741.0516,5218875.373
61,10,0,221357.8241,5218848.0274
62,10,15.2194039490349,221373.04255,5218848.1978
63,10,30.4388078980698,221388.261,5218848.3682
64,10,0,222956.8153,5218780.5934
65,10,411.400122524616,223367.7665,5218761.37955
66,10,822.800245049231,223778.7177,5218742.1657
67,10,0,224565.3259,5218707.7898
68,10,11.6538840016754,224576.96845,5218707.27595
69,10,23.3077680033508,224588.611,5218706.7621
70,10,0,225095.1008,5218681.4023
71,10,1168.87137012448,226262.62433438,5218625.28727907
72,10,2337.74274024895,227430.2383,5218571.2618
73,10,0,225390.2259,5218678.6799
74,10,0.914872879280637,225391.13975,5218678.63665
75,10,1.82974575856127,225392.0536,5218678.5934
76,10,0,225391.0965,5218677.7228
77,10,0.91482057279326,225391.1397,5218678.6366
78,10,1.82964114558652,225391.1829,5218679.5504
79,10,0,215731.1161,5219174.5921
80,10,60.8549292572256,215671.801079942,5219185.39944392
81,10,121.709858514451,215621.9812,5219218.5691
82,11,0,218965.8056,5174687.7148
83,11,392.783155036583,218953.257697792,5174295.13560226
84,11,785.566310073165,218942.7955,5173902.4927
85,11,0,214082.277,5175669.2263
86,11,2851.6046962441,216923.878734282,5175568.40208012
87,11,5703.20939248819,218965.8056,5174687.7148
88,12,0,223828.6045,5189805.761
89,12,3.65651600737667,223830.5318,5189802.65365
90,12,7.31303201475334,223832.4591,5189799.5463
91,12,0,229315.938,5187975.5232
92,12,2165.0839385035,230021.835524129,5186314.42730392
93,12,4330.16787700699,232183.6928,5186206.8873
94,12,0,229315.938,5187975.5232
95,12,3250.82072897544,226068.316847072,5188101.87537332
96,12,6501.64145795087,223832.4591,5189799.5463
97,13,0,231385.0752,5211894.2473
98,13,6931.20393159595,224460.309684726,5212190.6167876
99,13,13862.4078631919,217551.2701,5212470.8243
100,14,0,213815.8868,5177148.9455
101,14,1527.97106638344,215130.996036848,5177275.15677758
102,14,3055.94213276688,216657.2727,5177205.0492
103,15,0,231414.2124,5200743.3818
104,15,2278.78905998354,229138.046741437,5200851.19946332
105,15,4557.57811996709,227568.0694,5199926.8319
106,16,0,224741.0682,5200064.0334
107,16,2926.29856026507,226078.857744867,5198059.45868502
108,16,5852.59712053013,227600.0386,5196110.175
109,17,0,223833.9879,5191415.5667
110,17,578.994213447448,224412.449227463,5191392.91419664
111,17,1157.9884268949,224991.0219,5191370.8795
112,17,0,224991.0219,5191370.8795
113,17,1833.35972129631,226822.680267675,5191293.6185962
114,17,3666.71944259262,228654.6992,5191226.0586
115,18,0,240364.6703,5159576.0912
116,18,3551.44766548038,237067.380926802,5160126.35993173
117,18,7102.89533096077,234993.8221,5161858.9143
118,19,0,239231.4677,5164932.0479
119,19,806.295761750311,238425.537485322,5164955.95529388
120,19,1612.59152350062,237622.8092,5164979.7154
121,19,0,237611.4111,5164980.7583
122,19,205.151308941487,237406.38165,5164987.82825
123,19,410.302617882974,237201.3522,5164994.8982
124,19,0,239239.3363,5164932.008
125,19,351.115307088615,239590.268862772,5164920.68125034
126,19,702.230614177229,239939.1081,5164911.3059
127,19,0,240109.6169,5165003.2134
128,19,60.9377513960197,240124.909765594,5164944.22579277
129,19,121.875502792039,240159.4088,5164904.0231
130,19,0,240159.4088,5164904.0231
131,19,1012.35944682955,241170.527018609,5164871.95033502
132,19,2024.7188936591,242180.9567,5164824.929
133,19,0,242180.8773,5164824.9325
134,19,296.114838702622,242476.66245,5164810.96315
135,19,592.229677405244,242772.4476,5164796.9938
136,19,0,242772.4476,5164796.9938
137,19,146.664025786702,242918.9611,5164790.3507
138,19,293.328051573404,243065.4746,5164783.7076
139,19,0,235991.8313,5164926.5626
140,19,637.530061031448,236581.995979182,5164998.19930587
141,19,1275.0601220629,237201.3522,5164994.8982
142,19,0,239939.1081,5164911.3059
143,19,115.73449019706,240019.838558747,5164992.70169269
144,19,231.468980394119,240109.6169,5165003.2134
145,20,0,215313.2854,5197945.2672
146,20,3800.12356850332,216610.384741009,5194840.71026174
147,20,7600.24713700665,218379.0692,5191656.1692
148,21,0,215576.788,5214214.5824
149,21,3612.60030435957,219185.078499162,5214054.97050083
150,21,7225.20060871914,222792.773,5213867.9793
151,22,0,215293.3164,5198613.2001
152,22,1817.55864392741,217109.367857738,5198547.95819577
153,22,3635.11728785482,218557.6307,5198086.3936
154,23,0,234496.2162,5196825.1874
155,23,1734.6972693979,234433.218955436,5195095.00414057
156,23,3469.3945387958,234352.0875,5193362.4964
157,24,0,228399.3308,5172661.0405
158,24,1722.57629347653,230119.134387815,5172577.34597142
159,24,3445.15258695305,231839.7202,5172495.5232
160,25,0,213710.1556,5204715.6302
161,25,560.645460349602,214269.840461932,5204683.41438145
162,25,1121.2909206992,214829.1889,5204648.3235
163,26,0,210410.8699,5190295.1483
164,26,5482.42034968064,215875.244572247,5190120.97095552
165,26,10964.8406993613,221352.678,5189891.0619
166,27,0,236590.3975,5139200.9998
167,27,2273.41194652544,238854.248754171,5139089.08365968
168,27,4546.82389305088,241119.1017,5139003.1458
169,28,0,223925.6394,5143111.2199
170,28,5811.08837378043,228377.918980882,5141184.21489826
171,28,11622.1767475609,233425.7215,5141732.311
172,29,0,218203.0493,5159391.771
173,29,1817.57260915423,220018.971532557,5159316.1992983
174,29,3635.14521830846,221833.9718,5159221.3245
175,30,0,244987.4555,5123069.8775
176,30,1841.83778882089,245005.450360099,5124893.93583741
177,30,3683.67557764179,245085.2295,5126733.9824
178,30,0,243495.8025,5127205.5871
179,30,2188.93389384465,243392.745296825,5125019.12067228
180,30,4377.8677876893,243648.8732,5123130.5824
181,31,0,231720.8473,5139428.7709
182,31,2156.11300760756,229567.196698307,5139523.1198902
183,31,4312.22601521512,227413.7932,5139623.4941
184,32,0,238561.2916,5131016.6919
185,32,5274.67184888099,233292.504884023,5131260.92235025
186,32,10549.343697762,228023.6236,5131504.2438
187,33,0,231589.0598,5134593.5164
188,33,3191.31872524367,234775.598707523,5134424.40879971
189,33,6382.63745048734,237963.0731,5134272.4615
190,34,0,229879.8931,5133035.0064
191,34,4024.72400936874,233898.875362681,5132849.4567433
192,34,8049.44801873749,237912.3431,5132661.4209
193,35,0,238978.9156,5127794.8309
194,35,3837.41836019391,242812.140264065,5127622.6275077
195,35,7674.83672038783,246645.5446,5127448.6017
196,36,0,235223.781,5166290.4729
197,36,2290.63416881854,233232.344476614,5165974.71673812
198,36,4581.26833763708,230944.4579,5166085.7098
199,37,0,235249.5367,5166279.7497
200,37,933.733442895045,234980.310702199,5165385.67738006
201,37,1867.46688579009,234720.2622,5164488.9649
202,38,0,239293.4367,5167970.2613
203,38,1484.35468326928,237902.742409915,5167794.62174693
204,38,2968.70936653857,237472.9315,5166596.3906
205,39,0,243132.4255,5166393.9986
206,39,3434.59731776736,239710.133754637,5166544.38293026
207,39,6869.19463553472,236292.5931,5166650.4234
208,40,0,242171.7103,5168038.7821
209,40,807.030849311898,241365.623561224,5168077.80133081
210,40,1614.0616986238,240559.3163,5168111.8153
211,41,0,234993.4968,5161871.9453
212,41,4013.22729891946,239002.819967514,5161698.64303224
213,41,8026.45459783893,243013.636,5161566.9449
214,42,0,214321.1748,5199811.6051
215,42,2961.6620643751,217279.347542138,5199700.18190274
216,42,5923.3241287502,220238.4112,5199577.3877
217,42,0,220113.4685,5197596.1364
218,42,1365.6330144705,220214.890390878,5198943.94971437
219,42,2731.266028941,220967.4243,5199566.0604
220,43,0,215310.4537,5198010.9102
221,43,1248.36642805549,216555.179068188,5197964.24635649
222,43,2496.73285611098,217801.8187,5197899.2844
223,44,0,214503.8453,5210254.2733
224,44,489.25659493577,214601.749431255,5210729.67276709
225,44,978.51318987154,214618.5072,5211169.6817
226,45,0,64102.2555999998,5148911.4011
227,45,1066.65237930387,65166.3864359546,5148879.2407702
228,45,2133.30475860774,66231.8679999998,5148829.5237
229,45,0,214658.1793,5211062.9817
230,45,2111.888846703,214715.271754756,5213165.11850135
231,45,4223.77769340599,214634.981,5215111.8259
232,46,0,219562.3655,5169048.0501
233,46,808.095018130153,219521.295238224,5168241.02113898
234,46,1616.19003626031,219480.2282,5167433.9703
235,47,0,219561.8572,5169038.0603
236,47,1026.72840094801,220587.547731121,5168993.47183555
237,47,2053.45680189603,221613.4802,5168953.7498
238,48,0,246607.0793,5140399.7834
239,48,9375.86821069248,247870.106636296,5131485.8688066
240,48,18751.736421385,248725.2115,5122841.6143
241,49,0,248004.2957,5130611.0191
242,49,1261.05128808128,249264.158038338,5130556.27204885
243,49,2522.10257616257,250218.3219,5130976.4359
244,50,0,247517.092,5135490.6422
245,50,983.95614332399,248500.095690616,5135449.95628986
246,50,1967.91228664798,249481.5761,5135413.78
247,51,0,226585.4848,5137465.5517
248,51,1156.70244718464,226993.629919263,5138545.37293939
249,51,2313.40489436928,227409.9896,5139623.2928
250,52,0,226803.7471,5138034.7875
251,52,4674.12170543968,231470.11425714,5137815.13047303
252,52,9348.24341087936,235267.2203,5138758.9333
253,53,0,230939.8379,5130546.3743
254,53,1340.38857958189,230884.050926368,5129207.20043527
255,53,2680.77715916379,230821.2786,5127870.2286
256,54,0,217469.7036,5162686.5414
