cat,lcat,along,x,y
1,1,0,224260.2108,5193246.565
2,1,5150.70167271698,229166.354920836,5192825.04203784
3,1,10301.403345434,234309.0609,5192545.1955
4,2,0,231561.3573,5180589.24
5,2,2619.51817559923,234144.702963187,5180306.08719262
6,2,5239.03635119847,235562.6064,5181208.3572
7,3,0,219111.6121,5208174.2514
8,3,5067.70800048573,220174.052383688,5204423.28390685
9,3,10135.4160009715,220229.2509,5199615.9633
10,4,0,211959.4972,5179012.138
11,4,2391.06267347856,214348.420506744,5178932.54637113
12,4,4782.12534695712,216736.4287,5178813.352
13,5,0,216570.9156,5219061.7016
14,5,425.604939858889,216146.81014323,5219084.96071505
15,5,851.209879717778,215731.1161,5219174.5921
16,7,0,217336.8917,5219024.5413
17,7,303.035311322811,217034.31072819,5219041.12910899
18,7,606.070622645623,216731.6216,5219055.6092
19,8,0,221357.8241,5218848.0274
20,8,308.689643607743,221049.460538623,5218862.2122541
21,8,617.379287215485,220741.0516,5218875.373
22,9,0,227430.2383,5218571.2618
23,9,152.97710956833,227582.95575,5218562.35245
24,9,305.95421913666,227735.6732,5218553.4431
25,11,0,219804.8852,5218910.6658
26,11,468.415710192319,220272.9684,5218893.0194
27,11,936.831420384639,220741.0516,5218875.373
28,15,0,225095.1008,5218681.4023
29,15,1168.87137012432,226262.62433438,5218625.28727907
30,15,2337.74274024863,227430.2383,5218571.2618
31,16,0,218965.8056,5174687.7148
32,16,392.783155036117,218953.257697792,5174295.13560226
33,16,785.566310072233,218942.7955,5173902.4927
34,17,0,223828.6045,5189805.761
35,17,3.65651600737667,223830.5318,5189802.65365
36,17,7.31303201475334,223832.4591,5189799.5463
37,18,0,229315.938,5187975.5232
38,18,2165.08393850334,230021.835524129,5186314.42730392
39,18,4330.16787700667,232183.6928,5186206.8873
40,19,0,231385.0752,5211894.2473
41,19,6931.20393159595,224460.309684726,5212190.6167876
42,19,13862.4078631919,217551.2701,5212470.8243
43,20,0,231414.2124,5200743.3818
44,20,2278.78905998354,229138.046741437,5200851.19946332
45,20,4557.57811996709,227568.0694,5199926.8319
46,21,0,224741.0682,5200064.0334
47,21,2926.29856026507,226078.857744867,5198059.45868502
48,21,5852.59712053013,227600.0386,5196110.175
49,22,0,223833.9879,5191415.5667
50,22,578.994213447419,224412.449227463,5191392.91419664
51,22,1157.98842689484,224991.0219,5191370.8795
52,23,0,224991.0219,5191370.8795
53,23,1833.35972129631,226822.680267675,5191293.6185962
54,23,3666.71944259262,228654.6992,5191226.0586
55,24,0,239231.4677,5164932.0479
56,24,806.295761750311,238425.537485322,5164955.95529388
57,24,1612.59152350062,237622.8092,5164979.7154
58,26,0,240159.4088,5164904.0231
59,26,1012.31970827839,241170.487301392,5164871.95163699
60,26,2024.63941655678,242180.877300638,5164824.93251441
61,29,0,215293.3164,5198613.2001
62,29,1817.55864392741,217109.367857738,5198547.95819577
63,29,3635.11728785482,218557.6307,5198086.3936
64,30,0,234496.2162,5196825.1874
65,30,1734.6972693979,234433.218955436,5195095.00414057
66,30,3469.3945387958,234352.0875,5193362.4964
67,31,0,213710.1556,5204715.6302
68,31,560.645460349399,214269.840461932,5204683.41438145
69,31,1121.2909206988,214829.1889,5204648.3235
70,32,0,210410.8699,5190295.1483
71,32,5482.42034968047,215875.244572247,5190120.97095552
72,32,10964.8406993609,221352.678,5189891.0619
73,33,0,218203.0493,5159391.771
74,33,1817.57260915402,220018.971532557,5159316.1992983
75,33,3635.14521830805,221833.9718,5159221.3245
76,34,0,243495.8025,5127205.5871
77,34,2188.93389384454,243392.745296825,5125019.12067228
78,34,4377.86778768908,243648.8732,5123130.5824
79,35,0,231720.8473,5139428.7709
80,35,2156.11300760756,229567.196698307,5139523.1198902
81,35,4312.22601521512,227413.7932,5139623.4941
82,36,0,229879.8931,5133035.0064
83,36,4024.72400936866,233898.875362681,5132849.4567433
84,36,8049.44801873731,237912.3431,5132661.4209
85,37,0,235223.781,5166290.4729
86,37,2290.63416881847,233232.344476614,5165974.71673812
87,37,4581.26833763694,230944.4579,5166085.7098
88,38,0,214321.1748,5199811.6051
89,38,2961.6620643751,217279.347542138,5199700.18190274
90,38,5923.3241287502,220238.4112,5199577.3877
91,39,0,215310.4537,5198010.9102
92,39,1248.36642805549,216555.179068188,5197964.24635649
93,39,2496.73285611098,217801.8187,5197899.2844
94,40,0,214503.8453,5210254.2733
95,40,489.256594935284,214601.749431255,5210729.67276709
96,40,978.513189870568,214618.507199999,5211169.6817
97,41,0,64102.2555999998,5148911.4011
98,41,1066.65237930387,65166.3864359546,5148879.2407702
99,41,2133.30475860774,66231.8679999998,5148829.5237
100,42,0,247517.092,5135490.6422
101,42,983.95614332399,248500.095690616,5135449.95628986
102,42,1967.91228664798,249481.5761,5135413.78
103,43,0,226803.7471,5138034.7875
104,43,4674.1217054396,231470.11425714,5137815.13047303
105,43,9348.24341087919,235267.2203,5138758.9333
106,44,0,230939.8379,5130546.3743
107,44,1340.38857958143,230884.050926368,5129207.20043527
108,44,2680.77715916286,230821.2786,5127870.2286
109,45,0,222011.2163,5161160.866
110,45,2253.56662935299,224076.420524187,5161255.56922199
111,45,4507.13325870599,226175.5845,5161465.5443
112,46,0,222167.1606,5160832.2022
113,46,1176.95410669405,223343.032634943,5160781.82860521
114,46,2353.9082133881,224518.7827,5160728.616
115,47,0,235739.37,5158590.8278
116,47,4549.3244824116,238820.729926943,5156870.5678853
117,47,9098.6489648232,243367.2234,5156714.6719
118,48,0,236293.0567,5202073.032
119,48,6049.01755993148,230256.272078839,5202414.38670144
120,48,12098.035119863,224213.9285,5202626.2218
121,49,0,233103.7145,5202242.3731
122,49,1098.43568993739,233701.080865245,5201365.95569749
123,49,2196.87137987478,234468.2138,5200585.1974
124,50,0,234485.355,5200551.3612
125,50,87.6032850100606,234553.25715,5200496.0111
126,50,175.206570020121,234621.1593,5200440.661
127,51,0,209864.5586,5219362.1934
128,51,1180.16608442762,211041.981354359,5219289.17196547
129,51,2360.33216885524,212221.0592,5219238.7821
130,52,0,234635.9039,5210168.0955
131,52,409.630798238904,235044.506879292,5210162.36601047
132,52,819.261596477807,235453.9166,5210148.9314
133,53,0,234879.6771,5206148.9798
134,53,396.109746782391,234912.901747542,5206543.67019145
135,53,792.219493564781,234942.482,5206938.6647
136,54,0,234942.4821,5206938.6698
137,54,14.579799230697,234943.822987255,5206953.18780837
138,54,29.1595984613941,234942.915699931,5206967.01231851
139,55,0,234903.2831,5206969.9942
140,55,153.506430587941,234750.06175,5206979.34525
141,55,307.012861175882,234596.8404,5206988.6963
142,56,0,234292.2166,5207015.4949
143,56,1278.45054628806,233016.115551308,5207091.4153665
144,56,2556.90109257611,231739.3074,5207156.1699
145,57,0,231383.931,5207163.6041
146,57,304.448807447269,231079.605638457,5207172.27304907
147,57,608.897614894537,230775.2645,5207180.3691
148,58,0,230775.2645,5207180.3691
149,58,489.443713383693,230286.0372145,5207194.91696588
150,58,978.887426767387,229798.0926,5207213.9763
151,59,0,229186.9201,5207248.1234
152,59,323.223917069434,228865.090041869,5207278.10854037
153,59,646.447834138868,228543.2594,5207308.0757
154,60,0,228543.2594,5207308.0757
155,60,1082.44537194524,227784.891620504,5208076.6192454
156,60,2164.89074389048,227036.2616,5208858.3943
157,61,0,227036.2616,5208858.3943
158,61,36.8420197038291,226999.46385,5208860.19985
159,61,73.6840394076582,226962.6661,5208862.0054
160,62,0,227036.4374,5208858.8153
161,62,787.285284666938,227822.890975898,5208822.66722194
162,62,1574.57056933388,228609.4364,5208788.6593
163,63,0,228609.4364,5208788.6593
164,63,1596.42714000457,230204.390139146,5208720.20031472
165,63,3192.85428000914,231799.0604,5208647.5466
166,64,0,225391.0214,5208933.8163
167,64,782.614359293188,224609.148516852,5208967.86232862
168,64,1565.22871858638,223827.2788,5209001.9797
169,65,0,222563.9881,5209058.9357
170,65,1208.107039805,221357.265754991,5209116.66487392
171,65,2416.21407961,220150.3449,5209169.9107
172,66,0,220150.3449,5209169.9107
173,66,410.745184963284,219740.076298789,5209189.1133972
174,66,821.490369926568,219335.6016,5209208.9814
175,67,0,222603.5408,5209057.3484
176,67,19.7922686834325,222583.76445,5209058.14205
177,67,39.584537366865,222563.9881,5209058.9357
178,68,0,225414.8697,5208932.5667
179,68,11.9405078727179,225402.94555,5208933.1915
180,68,23.8810157454358,225391.0214,5208933.8163
181,69,0,229404.4093,5189588.9555
182,69,797.01474328454,229358.934343515,5188793.24273629
183,69,1594.02948656908,229315.954,5187997.3922
184,71,0,226195.7928,5189711.678
185,71,804.846191047685,225391.575697044,5189738.33320013
186,71,1609.69238209537,224587.814857178,5189766.63293063
187,72,0,224587.8313,5189766.5637
188,72,382.181979582175,224208.462109702,5189780.03161248
189,72,764.36395916435,223834.6703,5189798.479
190,73,0,234643.3778,5210166.3436
191,73,856.825066738178,234588.304645995,5209322.32046219
192,73,1713.65013347636,234763.4998,5208551.853
193,74,0,219496.0099,5210808.2728
194,74,211.743953983957,219481.829605947,5210661.44211771
