root,chain
1,[1]
2,[2]
3,[3]
4,[4]
5,"[6, 117, 5, 120]"
6,"[6, 117, 5, 120]"
7,[7]
8,"[113, 114, 118, 115, 119, 116, 10, 8]"
9,[9]
10,"[113, 114, 118, 115, 119, 116, 10, 8]"
11,"[121, 11]"
12,[12]
13,[13]
14,[14]
15,[15]
16,"[16, 17]"
17,"[16, 17]"
18,[18]
19,"[128, 133, 129, 19, 130, 131]"
20,[20]
21,[21]
22,[22]
23,[23]
24,[24]
25,[25]
26,[26]
27,[27]
28,[28]
29,[29]
30,[30]
31,[31]
32,[32]
33,[33]
34,[34]
35,[35]
36,[36]
37,[37]
38,[38]
39,[39]
40,[40]
41,[41]
42,[42]
43,[43]
44,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
45,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
46,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
47,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
48,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
49,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
50,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
51,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
52,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
53,"[53, 54, 173, 174]"
54,"[53, 54, 173, 174]"
55,"[175, 59, 55, 176, 58, 56, 57]"
56,"[175, 59, 55, 176, 58, 56, 57]"
57,"[175, 59, 55, 176, 58, 56, 57]"
58,"[175, 59, 55, 176, 58, 56, 57]"
59,"[175, 59, 55, 176, 58, 56, 57]"
60,[60]
61,"[182, 183, 184, 185, 179, 180, 181, 61, 62]"
62,"[182, 183, 184, 185, 179, 180, 181, 61, 62]"
63,[63]
64,[64]
65,[65]
66,[66]
67,[67]
68,"[68, 263]"
69,[69]
70,[70]
71,[71]
72,[72]
73,[73]
74,[74]
75,[75]
76,[76]
77,[77]
78,[78]
79,[79]
80,[80]
81,[81]
82,[82]
83,[83]
84,[84]
85,[85]
86,"[87, 86]"
87,"[87, 86]"
88,[88]
89,"[223, 89]"
90,[90]
91,[91]
92,[92]
93,[93]
94,[94]
95,[95]
96,[96]
97,[97]
98,[98]
99,[99]
100,[100]
101,[101]
102,[102]
103,[103]
104,[104]
105,"[105, 232, 233]"
106,[106]
107,[107]
108,[108]
109,[109]
110,[110]
111,[111]
112,[112]
113,"[113, 114, 118, 115, 119, 116, 10, 8]"
114,"[113, 114, 118, 115, 119, 116, 10, 8]"
115,"[113, 114, 118, 115, 119, 116, 10, 8]"
116,"[113, 114, 118, 115, 119, 116, 10, 8]"
117,"[6, 117, 5, 120]"
118,"[113, 114, 118, 115, 119, 116, 10, 8]"
119,"[113, 114, 118, 115, 119, 116, 10, 8]"
120,"[6, 117, 5, 120]"
121,"[121, 11]"
122,"[122, 123]"
123,"[122, 123]"
124,"[124, 256]"
125,[125]
126,[126]
127,[127]
128,"[128, 133, 129, 19, 130, 131]"
129,"[128, 133, 129, 19, 130, 131]"
130,"[128, 133, 129, 19, 130, 131]"
131,"[128, 133, 129, 19, 130, 131]"
132,[132]
133,"[128, 133, 129, 19, 130, 131]"
134,[134]
135,[135]
136,"[150, 151, 136]"
137,[137]
138,[138]
139,[139]
140,[140]
141,[141]
142,[142]
143,"[236, 143, 237]"
144,"[245, 144]"
145,[145]
146,[146]
147,[147]
148,[148]
149,[149]
150,"[150, 151, 136]"
151,"[150, 151, 136]"
152,"[152, 153]"
153,"[152, 153]"
154,"[154, 155]"
155,"[154, 155]"
156,[156]
157,"[157, 158]"
158,"[157, 158]"
159,[159]
160,[160]
161,"[161, 162]"
162,"[161, 162]"
163,"[163, 164]"
164,"[163, 164]"
165,"[167, 168, 165]"
166,[166]
167,"[167, 168, 165]"
168,"[167, 168, 165]"
169,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
170,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
171,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
172,"[44, 45, 169, 46, 170, 47, 171, 48, 49, 172, 50, 51, 52]"
173,"[53, 54, 173, 174]"
174,"[53, 54, 173, 174]"
