from_cat,cat,dist,to_x,to_y
1,1,0,212771.963,5195519.9714
1,1,0,214068.2833,5195067.5848
2,2,0,239231.4677,5164932.0479
2,2,0,237622.8092,5164979.7154
2,557,7.86870116126588,239239.3363,5164932.008
3,3,0,227371.7661,5163521.8754
3,3,0,227360.4359,5163521.4842
5,5,0,229315.954474111,5187997.40216583
5,5,0,229404.4093,5189588.9555
5,428,0.485182631936752,229404.401342116,5189589.44061736
5,429,0.484589939667169,229404.425303532,5189589.43982561
5,454,1.36417044158935,229405.699868704,5189589.39753327
6,6,0,219948.9326,5165783.6968
6,6,0,219881.676747657,5164345.50099964
6,148,0.0326576861216185,219948.899948899,5165783.6974558
6,149,0,219948.9326,5165783.6968
7,7,0,295898.3232,5203914.9609
7,7,0,295905.3076,5202872.8211
8,8,0,289816.715,5202474.2567
8,8,0,289778.0151,5202427.8916
9,9,0,273921.800515301,5214587.40048102
9,9,0,273151.18,5214198.6303
9,675,0,273151.18,5214198.6303
9,676,0.0205025081886832,273151.172256765,5214198.61131592
10,10,0,274798.5935,5189229.2953
10,10,0,274455.900666245,5188857.09787819
10,157,0.00370742253054175,274798.592962214,5189229.29896821
10,704,0.000477618569733347,274798.593802408,5189229.29493031
11,11,0,241231.505839898,5140572.1001845
11,11,0,241183.6968,5139062.5152
11,566,0.0151480828890838,241183.696563041,5139062.50005377
12,12,0,290314.3861,5204578.8869
12,12,0,289563.3332,5204651.1009
12,710,2.00128693481583,289561.598373652,5204650.10313904
12,711,2.00129005130229,289561.600134527,5204650.10007737
13,13,0,228045.1029,5176124.7631
13,13,0,228008.1098,5176099.2254
13,352,0,228008.1098,5176099.2254
13,398,0.0137771490233394,228008.118376686,5176099.21461806
14,14,0,244488.475,5142112.0271
14,14,0,242972.4365,5142171.2288
14,584,0.045559524149507,242972.395785165,5142171.20835563
14,585,8.34294266100879e-005,242972.436462425,5142171.22887449
15,15,0,235739.37,5158590.8278
15,15,0,234114.7959,5158665.3432
15,530,0.0311113885801207,235739.401085381,5158590.82652816
15,532,0.0265223569999669,235739.368891922,5158590.8013008
16,16,0,225391.101819503,5218678.63844515
16,16,0,225390.2259,5218678.6799
16,18,0.0540340036392152,225391.13788506,5218678.59820898
16,18,0.915636485276127,225391.13788506,5218678.59820898
16,358,0.915019569886964,225391.140595072,5218678.65553326
16,358,0.0423739122530369,225391.140595072,5218678.65553326
16,363,0.929513793746999,225391.154374545,5218678.63595786
16,363,0.0526138676961226,225391.154374545,5218678.63595786
18,16,0.0540340036392152,225391.101819503,5218678.63844515
18,16,0.915660597687316,225391.101819503,5218678.63844515
18,18,0,225391.13788506,5218678.59820898
18,18,0,225391.0965,5218677.7228
18,358,0.0573883032741535,225391.140595072,5218678.65553326
18,358,0.933774978185239,225391.140595072,5218678.65553326
18,363,0.0411932167260964,225391.154374545,5218678.63595786
18,363,0.914990021761858,225391.154374545,5218678.63595786
20,20,0,223829.309350881,5189804.62458201
20,20,0,223828.6045,5189805.761
20,22,0.591515257629881,223829.18803342,5189805.85784548
20,22,1.23921616797697,223829.18803342,5189805.85784548
20,29,9.69168925310832,223834.873365045,5189798.36977739
20,29,8.37142965497112,223834.873365045,5189798.36977739
20,36,8.37142965497112,223834.873365045,5189798.36977739
20,36,9.69168925310832,223834.873365045,5189798.36977739
20,174,2.82542821865751,223830.093744897,5189803.35991811
20,174,1.48816960389523,223830.093744897,5189803.35991811
20,320,0,223829.309350881,5189804.62458201
20,320,0.590211390957129,223829.191876252,5189805.81878084
20,321,1.353219975406,223829.317763898,5189804.61101786
20,321,0.0159613606437183,223829.317763898,5189804.61101786
20,323,1.35842915753433,223829.311656244,5189804.60114664
20,323,0.0235484941322105,223829.311656244,5189804.60114664
20,324,2.82542821865751,223830.093744897,5189803.35991811
20,324,1.48816960389523,223830.093744897,5189803.35991811
20,325,7.25315395787617,223833.145479283,5189800.10522866
20,325,5.92793689976395,223833.145479283,5189800.10522866
20,326,7.36136419141283,223832.510383957,5189799.52130824
20,326,6.02411951903059,223832.510383957,5189799.52130824
20,330,9.49716239650866,223834.68198829,5189798.46303935
20,330,8.17495203354819,223834.68198829,5189798.46303935
20,331,9.49245581244374,223834.684574931,5189798.47132194
20,331,8.17041266408541,223834.684574931,5189798.47132194
22,20,0.546939455293894,223828.723237885,5189805.56956111
22,22,0,223829.18803342,5189805.85784548
22,22,0,223641.1139,5189972.0849
22,29,9.40181681445456,223834.873365045,5189798.36977739
22,36,9.40181681445456,223834.873365045,5189798.36977739
22,174,2.65705748069277,223830.093744897,5189803.35991811
22,320,0,223829.18803342,5189805.85784548
22,321,1.2535585789716,223829.317763898,5189804.61101786
22,323,1.26276466210918,223829.311656244,5189804.60114664
22,324,2.65705748069277,223830.093744897,5189803.35991811
22,325,6.98240489475008,223833.145479283,5189800.10522866
22,326,7.15469896929585,223832.510383957,5189799.52130824
22,330,9.21231229855858,223834.68198829,5189798.46303935
22,331,9.20720905618231,223834.684574931,5189798.47132194
23,23,0,223897.60909219,5189791.26932525
23,23,0,223903.890755004,5189790.9215674
23,24,6.29128152571263,223897.60909219,5189791.26932525
23,24,0,223897.60909219,5189791.26932525
23,25,6.97870475281738,223896.929881888,5189791.42013083
23,25,0.695750642298275,223896.929881888,5189791.42013083
23,30,0,223903.890755004,5189790.9215674
23,30,0,223897.60909219,5189791.26932525
23,31,0,223897.60909219,5189791.26932525
23,31,6.29128152571263,223897.60909219,5189791.26932525
23,32,0.695750642298275,223896.929881888,5189791.42013083
23,32,6.97870475281738,223896.929881888,5189791.42013083
23,340,6.3001971008942,223903.899691241,5189790.92169458
23,340,0.00893714223615567,223903.899691241,5189790.92169458
23,423,0.0105091434067465,223903.90124561,5189790.92094347
23,423,6.30179058091365,223903.90124561,5189790.92094347
24,23,0,223897.60909219,5189791.26932525
24,23,0.695750642298275,223897.60909219,5189791.26932525
24,24,0,223896.929881888,5189791.42013083
24,24,0,223897.60909219,5189791.26932525
24,25,0.695750642298275,223896.929881888,5189791.42013083
24,25,0,223896.929881888,5189791.42013083
24,30,0,223897.60909219,5189791.26932525
24,30,0.695750642298275,223897.60909219,5189791.26932525
24,31,0,223896.929881888,5189791.42013083
24,31,0,223897.60909219,5189791.26932525
24,32,0.695750642298275,223896.929881888,5189791.42013083
24,32,0,223896.929881888,5189791.42013083
24,340,6.3001971008942,223903.899691241,5189790.92169458
24,340,6.98760911262218,223903.899691241,5189790.92169458
24,423,6.98921312848779,223903.90124561,5189790.92094347
24,423,6.30179058091365,223903.90124561,5189790.92094347
25,23,0.695750642298275,223897.60909219,5189791.26932525
25,24,0,223896.929881888,5189791.42013083
25,25,0,223882.501709834,5189792.14744578
25,25,0,223896.929881888,5189791.42013083
25,26,0,223882.501709834,5189792.14744578
25,27,7.825430845874,223874.720425793,5189792.97749794
25,30,0.695750642298275,223897.60909219,5189791.26932525
25,31,0,223896.929881888,5189791.42013083
25,32,0,223882.501709834,5189792.14744578
25,32,0,223896.929881888,5189791.42013083
25,33,0,223882.501709834,5189792.14744578
25,34,7.825430845874,223874.720425793,5189792.97749794
25,340,6.98760911262218,223903.899691241,5189790.92169458
25,423,6.98921312848779,223903.90124561,5189790.92094347
26,25,0,223882.501709834,5189792.14744578
26,25,7.825430845874,223882.501709834,5189792.14744578
26,26,0,223882.501709834,5189792.14744578
26,26,0,223874.720425793,5189792.97749794
26,27,7.825430845874,223874.720425793,5189792.97749794
26,27,0,223874.720425793,5189792.97749794
26,32,0,223882.501709834,5189792.14744578
26,32,7.825430845874,223882.501709834,5189792.14744578
26,33,0,223882.501709834,5189792.14744578
26,33,0,223874.720425793,5189792.97749794
26,34,7.825430845874,223874.720425793,5189792.97749794
26,34,0,223874.720425793,5189792.97749794
27,25,7.825430845874,223882.501709834,5189792.14744578
27,26,0,223874.720425793,5189792.97749794
