cat,x,y
1,215311.658447323,5197951.66691323
2,215311.559231317,5197951.6794106
3,215310.618685683,5198010.90560282
4,215310.610043078,5198010.80597699
5,213584.333090711,5201965.43999565
6,213584.335940286,5201965.53995504
7,213568.447924531,5202012.29024691
8,213568.404242935,5202012.20029182
9,212768.441447148,5195386.3422269
10,212768.44367112,5195386.44220216
11,212770.085155388,5195435.85083482
12,212770.081735599,5195435.75089331
13,218562.979597158,5198269.4394733
14,218562.974620881,5198269.33959719
15,218560.584186185,5198219.79558183
16,218560.588456954,5198219.89549059
17,214726.236276864,5199801.01697377
18,214726.336237558,5199801.01417026
19,214775.805336225,5199799.77277387
20,214775.70559266,5199799.76561698
21,220409.894479629,5204411.13254189
22,220409.99434716,5204411.12739638
23,220440.246265512,5204386.16117002
24,220440.249938345,5204386.26110255
25,216613.349581883,5198566.21437859
26,216613.449502775,5198566.21040173
27,216662.982082711,5198564.23899993
28,216662.882161819,5198564.2429768
29,220240.826681009,5199860.95726296
30,220240.821554125,5199860.85739447
31,220238.278799153,5199811.32612543
32,220238.283926037,5199811.42599392
33,220381.749637642,5202993.02217149
34,220381.745533289,5202992.92225575
35,220379.710034004,5202943.37036728
36,220379.714138357,5202943.47028302
37,219926.345772926,5192993.35854413
38,219926.350323334,5192993.45844054
39,219928.567089887,5193043.03189018
40,219928.562717223,5193042.93198583
41,215310.618685683,5198010.90560282
42,215310.621753376,5198011.00555575
43,215310.938430282,5198021.32366349
44,215310.935362589,5198021.22371055
45,218001.473937936,5192222.43656938
46,218001.527479172,5192222.35211031
47,218028.703939066,5192181.02196458
48,218028.635234326,5192181.09462584
49,217532.543948457,5192933.66997948
50,217532.598892138,5192933.58642596
51,217560.049531318,5192892.47445748
52,217559.993145919,5192892.55704493
53,216775.733515108,5194072.01529382
54,216775.787988061,5194071.93143264
55,216804.263007777,5194031.28105444
56,216804.192396854,5194031.35186473
57,219979.610099177,5194070.60903302
58,219979.613859244,5194070.7089623
59,219986.078903363,5194219.63829111
60,219986.045393934,5194219.54407265
61,220235.643871226,5199759.99938516
62,220235.638744342,5199759.89951667
63,220230.039342156,5199650.82668065
64,220230.04446904,5199650.92654914
65,219863.13945225,5191555.72944953
66,219863.144150907,5191555.82933908
67,219858.032887746,5191607.00350106
68,219858.018738416,5191606.90450714
69,212778.098384832,5195319.67599194
70,212778.064950474,5195319.77023707
71,212769.841899052,5195369.15834245
72,212769.854968018,5195369.05920012
73,213951.476510514,5201184.39177172
74,213951.439291431,5201184.48458735
75,213931.343780988,5201232.70281548
76,213931.409678783,5201232.62759926
77,220375.380832829,5202837.98094497
78,220375.376728477,5202837.88102923
79,220373.692098615,5202787.82379957
80,220373.696546917,5202787.92370058
81,220306.156505522,5201237.85369861
82,220306.150666346,5201237.75386924
83,220303.275398106,5201187.89343318
84,220303.260372288,5201187.99229786
85,218566.602343576,5198368.52048707
86,218566.596160361,5198368.42067842
87,218564.292102644,5198318.293109
88,218564.288321219,5198318.39303748
89,220090.944273474,5196366.56270399
90,220090.949033394,5196366.66259065
91,220093.923197917,5196416.14352263
92,220093.939106845,5196416.04479621
93,214456.375787506,5199805.81776495
94,214456.475648694,5199805.81249776
95,214506.630710604,5199804.27954191
96,214506.53903655,5199804.23959359
97,215084.567053854,5199788.39764428
98,215084.666956781,5199788.39323916
99,215134.749224879,5199786.18490817
100,215134.649321952,5199786.1893133
101,215305.194481694,5198596.32672919
102,215305.154083684,5198596.41820597
103,215302.778027667,5198601.79851931
104,215302.818425677,5198601.70704253
