cat,orig_cat
1,3
2,5
3,8
4,9
5,10
6,10
7,10
8,10
9,10
10,10
11,11
12,12
13,13
14,15
15,16
16,17
17,17
18,19
19,19
20,22
21,23
22,25
23,26
24,29
25,30
26,31
27,34
28,36
29,42
30,43
31,44
32,45
33,50
34,52
35,53
36,56
37,57
38,61
39,62
40,63
41,63
42,64
43,65
44,68
45,68
46,68
47,68
48,68
49,68
50,68
51,68
52,68
53,69
54,69
55,69
56,69
57,69
58,69
59,69
60,71
61,72
62,72
63,73
64,74
65,76
66,77
67,78
68,79
69,81
70,82
71,85
72,86
73,87
74,88
75,89
76,90
77,90
78,96
79,97
80,97
81,100
82,101
83,104
84,106
85,107
86,108
87,108
88,110
89,112
90,112
91,113
92,114
93,114
94,114
95,117
96,120
97,120
98,120
99,122
100,125
101,126
102,127
103,129
104,129
105,121
106,1
107,2
108,4
109,6
110,7
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,11
122,72
123,72
124,12
125,14
126,18
127,19
128,19
129,19
130,19
131,19
132,19
133,19
134,20
135,21
136,132
137,24
138,27
139,28
140,30
141,32
142,33
143,124
144,131
145,35
146,37
147,38
148,40
149,41
150,132
151,132
152,46
153,46
154,48
155,48
156,49
157,51
158,51
159,55
160,58
161,123
162,123
163,60
164,60
165,66
166,67
167,66
168,66
169,68
170,68
171,68
172,68
173,69
174,69
175,69
176,69
177,70
178,70
179,72
180,72
181,72
182,72
183,72
184,72
185,72
186,74
187,75
188,75
189,80
190,80
191,83
192,118
193,84
194,119
195,119
196,119
197,119
198,115
199,91
200,92
201,92
202,93
203,94
204,92
205,92
206,95
207,95
208,98
209,95
210,95
211,99
212,99
213,102
214,118
215,118
216,106
217,106
218,109
219,110
220,110
221,110
222,111
223,112
224,115
225,116
226,119
227,118
228,120
229,120
230,120
231,120
232,121
233,121
234,59
235,59
236,124
237,124
238,124
239,124
240,128
241,130
242,47
243,47
244,130
245,131
246,39
247,39
248,42
249,42
250,45
251,45
252,54
253,54
254,70
255,70
256,12
257,103
258,103
259,105
260,105
261,119
262,119
263,79
