cat,along,x,y
1,0,213581.40237929,5201967.91330161
2,0.762255302659316,213581.520723858,5201968.66631403
3,6.76155015895588,213583.197526099,5201974.42651134
4,8.45458585972648,213583.670729389,5201976.05207233
5,9.90116476293699,213583.178750395,5201977.41242052
6,17.7221799622926,213576.306836537,5201981.14673152
7,23.7252613825816,213570.745203276,5201983.40620536
8,24.513318158873,213570.060380686,5201983.79614318
9,26.7292881724156,213568.295396469,5201985.13605131
10,27.3529201595931,213567.840567771,5201985.56272181
11,30.3525676057445,213565.878017528,5201987.83126349
12,30.4632466659744,213565.807160966,5201987.9162882
13,41.037225846723,213559.188709341,5201996.16281073
14,41.6005773435801,213558.878906318,5201996.63332852
15,42.1639288396595,213558.662530865,5201997.15346944
16,42.7272803365348,213558.54721298,5201997.70489187
17,43.2906318325617,213558.537019091,5201998.26815113
18,43.8539833290432,213558.632308662,5201998.82338514
19,44.417334825542,213558.82972152,5201999.35101481
20,60.2582172639996,213565.749271844,5202013.6006948
21,66.2582172639783,213571.146577218,5202010.97979902
22,80.2007254648475,213565.056267066,5201998.43780327
23,88.8209814650334,213570.451846758,5201991.71496657
24,91.4517658804992,213572.173064563,5201989.72538473
25,92.9567501369875,213573.371760143,5201988.81538115
26,98.7303591130632,213578.720795658,5201986.64227746
27,99.0658319721042,213579.024052814,5201986.49883013
28,107.695478873654,213586.606468731,5201982.37842062
29,108.142560813432,213586.982297662,5201982.13627423
30,108.58964275313,213587.317967069,5201981.8409637
31,108.753927220732,213587.432883231,5201981.72355985
32,108.755120612183,213587.433918152,5201981.72296561
33,109.339562599362,213587.874709427,5201981.33920073
34,109.924004586536,213588.232728891,5201980.8772543
35,110.148135223453,213588.352118637,5201980.68756869
36,110.732938378616,213588.613908629,5201980.16463396
37,111.317741533478,213588.769272082,5201979.60084595
38,111.323482176195,213588.769694512,5201979.59512087
39,112.601554177795,213589.204364598,5201978.39323487
40,113.04415279566,213589.47141515,5201978.04027943
41,113.619943511757,213589.724708807,5201977.52319407
42,114.195734228532,213589.874550874,5201976.96724236
43,114.771524945134,213589.915421584,5201976.39290401
44,115.304182795947,213589.902068504,5201975.86041356
45,115.896679846407,213589.82879752,5201975.27246448
46,116.489176896796,213589.641403726,5201974.71038235
47,116.949207850331,213589.412973228,5201974.31107297
48,118.575586966555,213588.958400447,5201972.74951201
49,124.190640767911,213587.388993537,5201967.35824211
50,126.195188493842,213587.331872452,5201965.3545084
51,132.195188493842,213581.33430897,5201965.52548289
52,134.583977272968,213581.40237929,5201967.91330161
53,0,212765.535781754,5195390.61625816
54,0.0358888054846095,212765.536794511,5195390.65213268
55,10.0330616808658,212765.878676776,5195400.64345801
56,20.0302345534407,212766.220559041,5195410.63478335
57,30.0274074260146,212766.562441305,5195420.62610868
58,40.0245803023275,212766.90432357,5195430.61743402
59,45.3636977322125,212767.086910145,5195435.9534285
60,51.3636977321945,212773.083400631,5195435.74824113
61,56.7028151620795,212772.900814056,5195430.41224666
62,66.6999880383924,212772.558931791,5195420.42092132
63,76.6971609109663,212772.217049526,5195410.42959598
64,86.6943337835412,212771.875167262,5195400.43827065
65,96.6735619344168,212771.533898669,5195390.46487954
