cat,lcat,along,x,y,elev
1,22,0,220237.40164213,5199579.91914682,
2,22,0.998735774311786,220236.939100723,5199580.80431832,
3,22,1.99747154862357,220236.476559317,5199581.68948983,
4,22,2.99620732293536,220236.014017911,5199582.57466133,
5,22,3.99494309724715,220235.551476504,5199583.45983284,
6,22,4.99367887155893,220236.36839664,5199583.84298167,
7,22,5.99241464587072,220237.309474595,5199584.17741467,
8,22,6.9911504201825,220238.250552551,5199584.51184766,
9,22,7.98988619449429,220239.191630507,5199584.84628065,
10,22,8.98862196880608,220240.132708463,5199585.18071365,
11,22,9.98735774311786,220241.073786419,5199585.51514664,
12,22,10.9860935174296,220242.014864375,5199585.84957964,
13,22,11.9848292917414,220242.955942331,5199586.18401263,
14,22,12.9835650660532,220243.897020287,5199586.51844563,276.6226
15,22,13.982300840365,220244.838098243,5199586.85287862,276.6268
16,22,14.9810366146768,220245.78981028,5199587.15552024,276.9908
17,22,15.9797723889886,220246.742708902,5199587.45461448,277.0089
18,22,16.9785081633004,220247.695607524,5199587.75370872,277.044
19,22,17.9772439376122,220248.648506145,5199588.05280296,277.3902
20,22,18.9759797119239,220249.601404767,5199588.3518972,277.4267
21,22,19.9747154862357,220250.554303389,5199588.65099144,277.4813
22,22,20.9734512605475,220251.507202011,5199588.95008567,277.5674
23,22,21.9721870348593,220252.460100632,5199589.24917991,277.8998
24,22,22.9709228091711,220253.412999254,5199589.54827415,277.9993
25,22,23.9696585834829,220254.365897876,5199589.84736839,278.1121
26,22,24.9683943577947,220255.327386324,5199590.10495142,278.4025
27,22,25.9671301321064,220256.320730366,5199590.20858907,278.5084
28,22,26.9658659064182,220257.314074407,5199590.31222672,278.6204
29,22,27.96460168073,220258.307418449,5199590.41586437,278.732
30,22,28.9633374550418,220259.30076249,5199590.51950201,278.8598
31,22,29.9620732293536,220260.294106531,5199590.62313966,278.9875
32,22,30.9608090036654,220261.287450573,5199590.72677731,279.0904
33,22,31.9595447779772,220262.280794614,5199590.83041496,279.1857
34,22,32.9582805522889,220263.274138656,5199590.93405261,279.2408
35,22,33.9570163266007,220264.267482697,5199591.03769026,279.3206
36,22,34.9557521009125,220265.260826739,5199591.1413279,279.3776
37,22,35.9544878752243,220266.234522464,5199591.11075084,279.3943
38,22,36.9532236495361,220267.156475027,5199590.726724,279.4228
39,22,37.9519594238479,220268.07842759,5199590.34269715,279.4375
40,22,38.9506951981597,220269.000380152,5199589.95867031,279.4243
41,22,39.9494309724715,220269.922332715,5199589.57464346,279.4243
42,22,40.9481667467832,220270.844285278,5199589.19061661,279.427
43,22,41.946902521095,220271.766237841,5199588.80658977,279.4124
44,22,42.9456382954068,220272.688190404,5199588.42256292,279.4288
45,22,43.9443740697186,220273.610142967,5199588.03853608,279.4294
46,22,44.9431098440304,220274.53209553,5199587.65450923,279.4142
47,22,45.9418456183422,220275.454048093,5199587.27048238,279.3424
48,22,46.940581392654,220276.382055989,5199586.92331165,279.096
49,22,47.9393171669657,220277.378415445,5199586.99216644,278.8253
50,22,48.9380529412775,220278.374774901,5199587.06102122,278.5067
51,22,49.9367887155893,220279.371134357,5199587.12987601,278.1186
52,22,50.9355244899011,220280.367493813,5199587.19873079,277.7037
53,22,51.9342602642129,220281.363853269,5199587.26758558,277.2974
54,22,52.9329960385247,220282.360212725,5199587.33644036,276.9636
55,22,53.9317318128365,220283.356572181,5199587.40529515,276.6655
56,22,54.9304675871482,220284.352931637,5199587.47414993,276.3925
57,22,55.92920336146,220285.349291092,5199587.54300472,276.1929
58,22,56.9279391357718,220286.345772197,5199587.60953055,276.1485
59,22,57.9266749100836,220287.343883138,5199587.64485329,276.1512
60,22,58.9254106843954,220288.341994079,5199587.68017604,276.0483
61,22,59.9241464587072,220289.34010502,5199587.71549878,275.945
62,22,60.922882233019,220290.338215961,5199587.75082152,275.9258
63,22,61.9216180073307,220291.336326902,5199587.78614427,275.9569
64,22,62.9203537816425,220292.334437843,5199587.82146701,275.9905
65,22,63.9190895559543,220293.332548784,5199587.85678976,275.9753
66,22,64.9178253302661,220294.330659726,5199587.8921125,275.9534
67,22,65.9165611045779,220295.328770667,5199587.92743524,275.9348
68,22,66.9152968788897,220296.326517574,5199587.95800461,275.937
69,22,67.9140326532015,220297.307609882,5199587.77110616,275.9386
70,22,68.9127684275133,220298.28870219,5199587.58420771,275.9645
71,22,69.911504201825,220299.269794498,5199587.39730926,275.955
72,22,70.9102399761368,220300.250886806,5199587.21041081,275.9742
73,22,71.9089757504486,220301.231979114,5199587.02351237,275.9792
74,22,72.9077115247604,220302.213071422,5199586.83661392,276.0986
75,22,73.9064472990722,220303.19416373,5199586.64971547,276.0894
76,22,74.905183073384,220304.175256038,5199586.46281702,276.0762
77,22,75.9039188476958,220305.156348346,5199586.27591857,276.0716
78,22,76.9026546220075,220306.137440654,5199586.08902012,276.0852
79,22,77.9013903963193,220307.122230494,5199586.1941934,276.1012
80,22,78.9001261706311,220308.107739766,5199586.35619532,276.1185
81,22,79.8988619449429,220309.093249038,5199586.51819724,276.1393
82,22,80.8975977192547,220310.07875831,5199586.68019916,276.1367
83,22,81.8963334935665,220311.064267582,5199586.84220108,276.1513
84,22,82.8950692678783,220312.049776854,5199587.00420299,276.1242
85,22,83.8938050421901,220313.035286126,5199587.16620491,276.0835
86,22,84.8925408165018,220314.020795397,5199587.32820683,276.1254
87,22,85.8912765908136,220315.006304669,5199587.49020875,276.0946
88,22,86.8900123651254,220315.991813941,5199587.65221067,276.0946
89,22,87.8887481394372,220316.9799888,5199587.62891055,276.0897
90,22,88.887483913749,220317.969750153,5199587.49532309,276.1096
91,22,89.8862196880608,220318.959511506,5199587.36173562,276.1208
92,22,90.8849554623725,220319.949272859,5199587.22814815,276.1465
93,22,91.8836912366843,220320.939034211,5199587.09456068,276.1383
94,22,92.8824270109961,220321.928795564,5199586.96097322,276.0703
95,22,93.8811627853079,220322.918556917,5199586.82738575,276.0782
96,22,94.8798985596197,220323.90831827,5199586.69379828,276.0525
97,22,95.8786343339315,220324.898079622,5199586.56021081,276.0829
98,22,96.8773701082433,220325.887840975,5199586.42662335,276.0669
99,22,97.8761058825551,220326.882337599,5199586.34906059,276.1371
100,22,98.8748416568668,220327.880479654,5199586.31462825,276.1711
101,22,99.8735774311786,220328.878621708,5199586.28019591,276.2118
102,22,100.87231320549,220329.876763762,5199586.24576357,276.2223
103,22,101.871048979802,220330.874905817,5199586.21133122,276.2252
104,22,102.869784754114,220331.873047871,5199586.17689888,276.2252
105,22,103.868520528426,220332.871189925,5199586.14246654,276.2226
106,22,104.867256302738,220333.86933198,5199586.1080342,276.2252
107,22,105.865992077049,220334.867474034,5199586.07360185,276.2096
108,22,106.864727851361,220335.865616089,5199586.03916951,276.2015
109,22,107.863463625673,220336.863758143,5199586.00473717,276.1678
110,22,108.862199399985,220337.861900197,5199585.97030483,276.1681
111,22,109.860935174296,220338.860042252,5199585.93587248,276.1525
112,22,110.859670948608,220339.858184306,5199585.90144014,276.1196
113,22,111.85840672292,220340.85632636,5199585.8670078,276.1114
114,22,112.857142497232,220341.854468415,5199585.83257546,276.0751
115,22,113.855878271544,220342.852610469,5199585.79814312,276.1207
116,22,114.854614045855,220343.850752523,5199585.76371077,276.112
117,22,115.853349820167,220344.848894578,5199585.72927843,276.0918
118,22,116.852085594479,220345.847036632,5199585.69484609,276.1224
119,22,117.850821368791,220346.84066348,5199585.60690372,276.1592
120,22,118.849557143103,220347.830462077,5199585.47359249,276.1897
121,22,119.848292917414,220348.820260673,5199585.34028125,276.2156
122,22,120.847028691726,220349.81005927,5199585.20697002,276.2243
123,22,121.845764466038,220350.799857866,5199585.07365879,276.2332
124,22,122.84450024035,220351.789656463,5199584.94034755,276.1636
125,22,123.843236014661,220352.779455059,5199584.80703632,276.1717
126,22,124.841971788973,220353.769253656,5199584.67372509,276.1831
127,22,125.840707563285,220354.759052253,5199584.54041385,276.1906
128,22,126.839443337597,220355.748850849,5199584.40710262,276.2112
129,22,127.838179111909,220356.741901724,5199584.3690472,276.2167
130,22,128.83691488622,220357.738487937,5199584.43453816,276.2133
131,22,129.835650660532,220358.735074151,5199584.50002912,276.2121
132,22,130.834386434844,220359.731660364,5199584.56552008,276.2039
133,22,131.833122209156,220360.728246578,5199584.63101104,276.2005
134,22,132.831857983468,220361.724832791,5199584.696502,276.1859
135,22,133.830593757779,220362.721419004,5199584.76199297,276.2108
136,22,134.829329532091,220363.718005218,5199584.82748393,276.2019
137,22,135.828065306403,220364.714591431,5199584.89297489,276.1869
138,22,136.826801080715,220365.711177645,5199584.95846585,276.1443
139,22,137.825536855027,220366.704939794,5199584.94106216,276.1675
140,22,138.824272629338,220367.694758208,5199584.80789814,276.1631
141,22,139.82300840365,220368.684576621,5199584.67473413,276.222
142,22,140.821744177962,220369.674395035,5199584.54157011,276.2387
143,22,141.820479952274,220370.664213449,5199584.4084061,276.2453
144,22,142.819215726585,220371.654031863,5199584.27524209,276.2602
145,22,143.817951500897,220372.643850277,5199584.14207807,276.2693
146,22,144.816687275209,220373.63366869,5199584.00891406,276.2613
147,22,145.815423049521,220374.623487104,5199583.87575004,276.1391
148,22,146.814158823833,220375.613305518,5199583.74258603,276.2227
149,22,147.812894598144,220376.606087443,5199583.64466405,276.2389
150,22,148.811630372456,220377.604244137,5199583.61065874,276.2498
151,22,149.810366146768,220378.602400831,5199583.57665342,276.2542
152,22,150.80910192108,220379.600557525,5199583.54264811,276.2322
153,22,151.807837695392,220380.598714219,5199583.5086428,276.2186
154,22,152.806573469703,220381.596870913,5199583.47463748,276.2362
155,22,153.805309244015,220382.595027606,5199583.44063217,276.2408
156,22,154.804045018327,220383.5931843,5199583.40662686,276.2346
157,22,155.802780792639,220384.591340994,5199583.37262155,276.227
158,22,156.80151656695,220385.589497688,5199583.33861623,276.2021
159,22,157.800252341262,220386.587654382,5199583.30461092,276.1838
