from_cat,cat,dist
37,101,2.41727833786869
38,155,0.68883390312738
41,168,3.5100252342638
53,182,0.374850982110507
58,8,2.19819813965089
86,199,1.90025521747304
92,8,1.59827138403357
102,101,1.20011636418928
103,101,4.38009125278477
104,182,1.24640970828601
109,194,1.0022660198657
130,181,0.953936906486643
133,116,3.63710726550445
134,135,2.01377537793233
135,199,0.999691748011685
156,155,1.41415401319803
167,168,3.16225285393336
168,169,1.27233685908848
168,180,3.78944505345893
170,86,8.51266165816393
180,135,1.41395760461295
181,169,3.08087091035616
181,180,5.10179460075235
182,181,0.98060421606747
193,55,4.72410206778946
193,170,0.961267396048902
195,194,2.14342485217554
199,116,4.12305143601128
