fID,orig_cat
1,1
2,3
3,4
4,6
5,8
6,9
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,12
21,13
22,14
23,17
24,18
25,19
26,19
27,19
28,19
29,19
30,19
31,19
32,19
33,20
34,22
35,23
36,24
37,28
38,29
39,30
40,32
41,35
42,36
43,52
44,53
45,55
46,56
47,58
48,59
49,62
50,63
51,63
52,65
53,66
54,68
55,68
56,68
57,68
58,68
59,69
60,69
61,69
62,69
63,69
64,69
65,69
66,70
67,71
68,72
69,72
70,72
71,72
72,74
73,76
74,82
75,88
76,90
77,93
78,94
79,96
80,98
81,101
82,102
83,106
84,109
85,110
86,111
87,112
88,114
89,114
90,120
91,121
92,122
93,124
94,127
95,129
96,129
97,64
98,64
99,112
100,112
101,112
102,112
103,112
104,110
105,112
106,110
107,110
108,26
109,26
110,109
111,108
112,107
113,107
114,128
115,128
116,110
117,110
118,110
119,127
120,7
121,7
122,64
123,112
124,1
125,6
126,110
127,110
128,110
129,108
130,108
131,108
132,108
133,108
134,108
135,132
136,110
137,25
138,25
139,11
140,11
141,42
142,42
143,44
144,44
145,130
146,45
147,44
148,45
149,45
150,45
151,25
152,2
153,132
154,132
155,132
156,43
157,43
158,132
159,21
160,21
161,10
162,10
163,10
164,10
165,10
166,10
167,14
168,10
169,10
170,9
171,7
172,10
173,10
174,13
175,108
176,108
177,43
178,20
179,22
180,11
181,11
182,11
183,11
184,82
185,107
186,69
187,128
188,130
189,130
190,74
191,46
192,10
193,74
194,74
195,46
196,46
197,46
198,47
199,129
200,129
201,47
202,47
203,132
204,10
205,76
206,75
207,75
208,42
209,132
210,132
211,69
212,69
213,69
214,8
215,42
216,42
217,42
218,129
219,10
220,42
221,26
222,10
223,10
224,10
225,10
226,75
227,47
228,77
229,29
230,113
231,130
232,57
233,57
234,105
235,69
236,69
237,69
238,21
239,99
240,10
241,54
242,54
243,55
244,54
245,120
246,10
247,69
248,72
249,12
250,72
251,72
252,12
253,72
254,17
255,17
256,72
257,12
258,72
259,12
260,62
261,57
262,10
263,72
264,72
265,72
266,72
267,72
268,10
269,66
270,120
271,120
272,120
273,120
274,120
275,16
276,16
277,17
278,10
279,10
280,69
281,69
282,10
283,10
284,10
285,10
286,10
287,125
288,69
289,56
290,72
291,59
292,121
293,121
294,59
295,72
296,51
297,81
298,81
299,80
300,80
301,81
302,51
303,51
304,68
305,120
306,68
307,68
308,59
309,59
310,59
311,51
312,31
313,10
314,15
315,16
316,72
317,120
318,125
319,125
320,32
321,120
322,120
323,120
324,120
325,120
326,120
327,120
328,120
329,120
330,66
331,66
332,67
333,67
334,68
335,69
336,17
337,67
338,68
339,68
340,68
341,12
342,12
343,12
344,12
345,71
346,72
347,72
348,72
349,72
350,111
351,68
352,34
353,34
354,124
355,121
356,121
357,121
358,121
359,121
360,121
361,59
362,59
363,59
364,66
365,68
366,53
367,36
368,104
369,105
370,105
371,72
372,72
373,72
374,105
375,126
376,126
377,68
378,68
379,68
380,15
381,15
382,80
383,5
384,5
385,33
386,33
387,124
388,31
389,31
390,68
391,68
392,68
393,69
394,69
395,69
396,24
397,12
398,66
399,72
400,72
401,72
402,124
403,99
404,28
405,122
406,104
407,104
408,69
409,69
410,69
411,123
412,123
413,131
414,123
415,69
416,68
417,68
418,68
419,3
420,23
421,63
422,63
423,68
424,68
425,74
426,73
427,73
428,37
429,73
430,68
431,68
432,68
433,68
434,68
435,68
436,68
437,68
438,68
439,41
440,41
441,18
442,37
443,37
444,52
445,65
446,5
447,113
448,113
449,2
450,2
451,60
452,60
453,61
454,61
455,58
456,120
457,39
458,27
459,27
460,19
461,19
462,126
463,38
464,38
465,39
466,39
467,39
468,19
469,19
470,34
471,33
472,131
473,131
474,38
475,38
476,19
477,19
478,19
479,19
480,19
481,40
482,103
483,103
484,102
485,100
486,100
487,99
488,99
489,27
490,100
491,101
492,77
493,77
494,78
495,78
496,60
497,40
498,40
499,19
500,19
501,19
502,19
503,103
504,19
505,124
506,124
507,77
508,41
509,124
510,79
511,79
512,124
513,124
514,79
515,124
516,78
517,39
518,39
519,79
520,79
521,61
522,30
523,124
524,30
525,30
526,30
527,48
528,35
529,50
530,48
531,50
532,50
533,48
534,49
535,49
536,48
537,48
538,48
539,50
540,49
541,4
542,70
543,70
544,70
545,70
546,70
547,70
548,70
549,70
550,119
551,117
552,117
553,119
554,97
555,97
556,116
557,119
558,119
559,119
560,116
561,116
562,116
563,94
564,117
565,97
566,97
567,86
568,106
569,92
570,92
571,92
572,119
573,118
574,87
575,87
576,119
577,95
578,97
579,97
580,92
581,106
582,106
583,106
584,92
585,92
586,85
587,85
588,119
589,119
590,119
591,86
592,86
593,119
594,118
595,118
596,106
597,106
598,85
599,95
600,87
601,83
602,83
603,98
604,93
605,118
606,84
607,84
608,118
609,118
610,96
611,95
612,95
613,118
614,83
615,84
616,95
617,90
618,90
619,90
620,90
621,114
622,115
623,115
624,115
625,89
626,89
627,89
628,114
629,114
630,114
631,114
632,88
633,91
634,91
635,91
636,45
637,45
638,45
